ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL,original_source_file
CLE_145925,Cleveland Museum of Art,Funerary Portrait of a Young Girl,Painting,encaustic on linden wood,c. 25–37 CE,Reliefs,https://openaccess-cdn.clevelandart.org/1971.137/1971.137_web.jpg,CLE_data.csv
CLE_101363,Cleveland Museum of Art,Fragment of an Inlay Headdress,Inlays,lavender blue faience with deep blue overglaze,c. 1353–1295 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1976/1920.1976_web.jpg,CLE_data.csv
CLE_94076,Cleveland Museum of Art,Canopic Jar with Lid,Funerary Equipment,limestone,1540–1296 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.630/1914.630_web.jpg,CLE_data.csv
CLE_93984,Cleveland Museum of Art,Coffin of Bakenmut,Funerary Equipment,gessoed and painted sycamore fig,c. 1000–900 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.561/1914.561_web.jpg,CLE_data.csv
CLE_136179,Cleveland Museum of Art,The Repose in Egypt,Print,woodcut,c. 1501–1502,Unclassified,https://openaccess-cdn.clevelandart.org/1959.99.15/1959.99.15_web.jpg,CLE_data.csv
CLE_147518,Cleveland Museum of Art,Amulet of Bastet,Amulets,hematite,c. 1069–715 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1973.29/1973.29_web.jpg,CLE_data.csv
CLE_143138,Cleveland Museum of Art,Rest on the Flight into Egypt,Painting,oil on canvas,1624,Reliefs,https://openaccess-cdn.clevelandart.org/1967.123/1967.123_web.jpg,CLE_data.csv
CLE_94188,Cleveland Museum of Art,Coffin of Nesykhonsu,Funerary Equipment,gessoed and painted sycamore fig,c. 976–889 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.714/1914.714_web.jpg,CLE_data.csv
CLE_101389,Cleveland Museum of Art,Statuette of a Lion,Sculpture,limestone,380–246 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.2001/1920.2001_web.jpg,CLE_data.csv
CLE_149594,Cleveland Museum of Art,Head of King Userkaf,Sculpture,painted limestone,c. 2454–2447 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1979.2/1979.2_web.jpg,CLE_data.csv
CLE_148796,Cleveland Museum of Art,"Statue of Heqat, the Frog Goddess",Sculpture,travertine (Egyptian alabaster),c. 2950 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1976.5/1976.5_web.jpg,CLE_data.csv
CLE_156277,Cleveland Museum of Art,Weight in the Form of a Hippopotamus Head,Implements,hematite,c. 1540–1296 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1992.114/1992.114_web.jpg,CLE_data.csv
CLE_143165,Cleveland Museum of Art,Icon of the Virgin and Child,Textile,wool and dye,500s CE,Unclassified,https://openaccess-cdn.clevelandart.org/1967.144/1967.144_web.jpg,CLE_data.csv
CLE_101396,Cleveland Museum of Art,White Cross-Lined Bowl with Turtle and Sun,Vessels,Nile silt pottery,c. 4000–3400 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.2008/1920.2008_web.jpg,CLE_data.csv
CLE_125901,Cleveland Museum of Art,Torso of Amenpayom,Sculpture,granodiorite,probably 200–100 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1948.141/1948.141_web.jpg,CLE_data.csv
CLE_141478,Cleveland Museum of Art,Seated Statue of Nykara,Sculpture,red granite and pigment,2408–2377 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1964.90/1964.90_web.jpg,CLE_data.csv
CLE_148794,Cleveland Museum of Art,Talatat: Portrait of Nefertiti,Sculpture,painted sandstone,c. 1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1976.4/1976.4_web.jpg,CLE_data.csv
CLE_129204,Cleveland Museum of Art,"Roundel with curvilinear palmette tree, from a tunic",Textile,Silk; complementary weft-faced twill weave with inner warps (samite),600–850,Unclassified,https://openaccess-cdn.clevelandart.org/1952.102/1952.102_web.jpg,CLE_data.csv
CLE_152255,Cleveland Museum of Art,Statuette of a Man,Sculpture,painted limestone,c. 1859–1648 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1985.136/1985.136_web.jpg,CLE_data.csv
CLE_154904,Cleveland Museum of Art,Palette in the Form of a Turtle,Implements,graywacke,c. 3500–3050 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1989.47/1989.47_web.jpg,CLE_data.csv
CLE_136482,Cleveland Museum of Art,Statue of Amenemhat III,Sculpture,granodiorite,c. 1859–1814 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1960.56/1960.56_web.jpg,CLE_data.csv
CLE_154738,Cleveland Museum of Art,Palette in the Form of a Fish,Implements,graywacke,c. 3500–2950 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1989.32/1989.32_web.jpg,CLE_data.csv
CLE_151352,Cleveland Museum of Art,Caryatid Mirror,Cosmetic Objects,bronze with black copper inlay?,c. 1540–1296 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1983.196/1983.196_web.jpg,CLE_data.csv
CLE_101361,Cleveland Museum of Art,Trial Piece Worked on Both Sides,Sculpture,limestone,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1975.a/1920.1975.a_web.jpg,CLE_data.csv
CLE_156951,Cleveland Museum of Art,Statuette of Isis and Horus,Sculpture,"bronze, solid cast",664–30 BCE OR 664–330 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1993.110/1993.110_web.jpg,CLE_data.csv
CLE_136942,Cleveland Museum of Art,Head of Amenhotep III Wearing the Round Wig,Sculpture,brown quartzite,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1961.417/1961.417_web.jpg,CLE_data.csv
CLE_160436,Cleveland Museum of Art,Amulet of a Crouching Bear,Amulets,green porphyry,664–332 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1998.27/1998.27_web.jpg,CLE_data.csv
CLE_149884,Cleveland Museum of Art,Frog Amulet,Amulets,polychrome faience,c. 1380–1330 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1980.123/1980.123_web.jpg,CLE_data.csv
CLE_101365,Cleveland Museum of Art,"Naophorous Statue of the Finance Officer and Overseer of Fields, Horwedja",Sculpture,graywacke,521–486 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1978/1920.1978_web.jpg,CLE_data.csv
CLE_96303,Cleveland Museum of Art,Head of Sekhmet,Sculpture,granodiorite,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1916.2011/1916.2011_web.jpg,CLE_data.csv
CLE_93985,Cleveland Museum of Art,Coffin of Bakenmut,Funerary Equipment,gessoed and painted sycamore fig ,c. 1000–900 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.561.a/1914.561.a_web.jpg,CLE_data.csv
CLE_101378,Cleveland Museum of Art,Vulture Headdress Inlay,Jewelry,gold and semi-precious stones,100–1 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1920.1991/1920.1991_web.jpg,CLE_data.csv
CLE_130827,Cleveland Museum of Art,"Egypt and Nubia, Volume III, No. 26, Cairo, Looking West",Print,color lithograph,1838,Unclassified,https://openaccess-cdn.clevelandart.org/1953.531/1953.531_web.jpg,CLE_data.csv
CLE_154807,Cleveland Museum of Art,Pendant,Jewelry,gold and turquoise,1069–715 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1989.39/1989.39_web.jpg,CLE_data.csv
CLE_169924,Cleveland Museum of Art,"Egypt and Nubia, Volume III, No. 26, Cairo, Looking West",Print,color lithograph,1848,Unclassified,https://openaccess-cdn.clevelandart.org/2012.164/2012.164_web.jpg,CLE_data.csv
CLE_153630,Cleveland Museum of Art,Ostracon: Ramesses II Suckled by a Goddess,Sculpture,painted limestone,c. 1279–1213 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1987.156/1987.156_web.jpg,CLE_data.csv
CLE_101360,Cleveland Museum of Art,Trial Piece Worked on Both Sides,Sculpture,limestone,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1975/1920.1975_web.jpg,CLE_data.csv
CLE_93986,Cleveland Museum of Art,Coffin of Bakenmut (lid),Funerary Equipment,gessoed and painted sycamore fig,c. 1000–900 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.561.b/1914.561.b_web.jpg,CLE_data.csv
CLE_94084,Cleveland Museum of Art,Decorated Jar with Boat Scenes,Vessels,marl clay pottery,c. 3300–3100 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.639/1914.639_web.jpg,CLE_data.csv
CLE_155759,Cleveland Museum of Art,Statuette of a Serving Girl,Sculpture,"terracotta, originally painted",c. 1323–1186 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1991.107/1991.107_web.jpg,CLE_data.csv
CLE_118330,Cleveland Museum of Art,Mantle for a Statue of the Virgin with Lotus Blossoms and Medallions,Textile,Silk and gilt-metal thread: lampas weave,c. 1430,Statuary,https://openaccess-cdn.clevelandart.org/1939.40/1939.40_web.jpg,CLE_data.csv
CLE_94055,Cleveland Museum of Art,Pomegranate Vase,Vessels,blue vitreous faience,1479–1425 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.612/1914.612_web.jpg,CLE_data.csv
CLE_94113,Cleveland Museum of Art,Bust of Ankh-Hor,Sculpture,basalt,525–404 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.662/1914.662_web.jpg,CLE_data.csv
CLE_169914,Cleveland Museum of Art,"Egypt and Nubia, Volume II: Pyramids of Geezeh",Print,color lithograph,1848,Unclassified,https://openaccess-cdn.clevelandart.org/2012.155/2012.155_web.jpg,CLE_data.csv
CLE_135658,Cleveland Museum of Art,Talatat: Portrait of Nefertiti,Sculpture,painted sandstone,c. 1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1959.188/1959.188_web.jpg,CLE_data.csv
CLE_94190,Cleveland Museum of Art,Coffin of Nesykhonsu (lid),Funerary Equipment,gessoed and painted sycamore fig,c. 976–889 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.714.b/1914.714.b_web.jpg,CLE_data.csv
CLE_145923,Cleveland Museum of Art,Funerary Panel of a Man,Painting,encaustic on linen,about 138–92 CE,Reliefs,https://openaccess-cdn.clevelandart.org/1971.135/1971.135_web.jpg,CLE_data.csv
CLE_126198,Cleveland Museum of Art,Striding Statue of Minnefer,Sculpture,painted limestone,c. 2377–2311 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1948.420/1948.420_web.jpg,CLE_data.csv
CLE_129203,Cleveland Museum of Art,Roundel from a Tunic with Palmette Tree,Textile,Silk; complementary weft-faced twill weave with inner warps (samite),650–850,Unclassified,https://openaccess-cdn.clevelandart.org/1952.101/1952.101_web.jpg,CLE_data.csv
CLE_101376,Cleveland Museum of Art,Shawabty of Nectanebo II,Funerary Equipment,pale turquoise faience,360–342 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1989/1920.1989_web.jpg,CLE_data.csv
CLE_125224,Cleveland Museum of Art,Portrait Head of a Youth,Sculpture,marble,1–100 CE,Statuary,https://openaccess-cdn.clevelandart.org/1947.188/1947.188_web.jpg,CLE_data.csv
CLE_157614,Cleveland Museum of Art,Cosmetic Jar in the Form of the God Bes,Vessels,Egyptian blue,664–525 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.13/1995.13_web.jpg,CLE_data.csv
CLE_102377,Cleveland Museum of Art,Canopic Jar with Jackal's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1021.a/1921.1021.a_web.jpg,CLE_data.csv
CLE_102366,Cleveland Museum of Art,Canopic Jar with Falcon's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1018/1921.1018_web.jpg,CLE_data.csv
CLE_127174,Cleveland Museum of Art,Male Offering Bearer,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1949.497/1949.497_web.jpg,CLE_data.csv
CLE_159217,Cleveland Museum of Art,Flint in the Form of a Bird,Implements,tan-colored flint,4000–3000 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1995.40/1995.40_web.jpg,CLE_data.csv
CLE_102368,Cleveland Museum of Art,Canopic Jar with Falcon's Head (lid),Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1018.b/1921.1018.b_web.jpg,CLE_data.csv
CLE_102367,Cleveland Museum of Art,Canopic Jar with Falcon's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1018.a/1921.1018.a_web.jpg,CLE_data.csv
CLE_102378,Cleveland Museum of Art,Canopic Jar with Jackal's Head (lid),Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1021.b/1921.1021.b_web.jpg,CLE_data.csv
CLE_311852,Cleveland Museum of Art,Rest on the Flight to Egypt,Drawing,charcoal,c. 1879,Unclassified,https://openaccess-cdn.clevelandart.org/2018.74/2018.74_web.jpg,CLE_data.csv
CLE_160974,Cleveland Museum of Art,Pilgrim's Flask with Saint Menas,Ceramic,terracotta,400–600 CE,Pottery,https://openaccess-cdn.clevelandart.org/1999.230/1999.230_web.jpg,CLE_data.csv
CLE_102376,Cleveland Museum of Art,Canopic Jar with Jackal's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1021/1921.1021_web.jpg,CLE_data.csv
CLE_135656,Cleveland Museum of Art,Talatat: Nefertiti Offers to the Aten,Sculpture,painted sandstone,1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1959.186/1959.186_web.jpg,CLE_data.csv
CLE_151963,Cleveland Museum of Art,Wild Bull Hunt Scarab of Amenhotep III,Scarabs,steatite,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1984.36/1984.36_web.jpg,CLE_data.csv
CLE_147522,Cleveland Museum of Art,Rest on the Flight into Egypt,Painting,oil on wood,c. 1640,Reliefs,https://openaccess-cdn.clevelandart.org/1973.32/1973.32_web.jpg,CLE_data.csv
CLE_94103,Cleveland Museum of Art,Offering Table,Sculpture,granodiorite,305–30 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1914.655/1914.655_web.jpg,CLE_data.csv
CLE_150910,Cleveland Museum of Art,Roundel from a Tunic with Palmette Tree,Textile,Silk; complementary weft-faced twill weave with inner warps (samite),700s–800s,Unclassified,https://openaccess-cdn.clevelandart.org/1982.296/1982.296_web.jpg,CLE_data.csv
CLE_94189,Cleveland Museum of Art,Coffin of Nesykhonsu,Funerary Equipment,gessoed and painted sycamore fig ,c. 976–889 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.714.a/1914.714.a_web.jpg,CLE_data.csv
CLE_142646,Cleveland Museum of Art,Inlay:  Head of a King,Inlays,red jasper,380–246 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1966.370/1966.370_web.jpg,CLE_data.csv
CLE_159515,Cleveland Museum of Art,Statue of Minemheb,Sculpture,granodiorite,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1996.28/1996.28_web.jpg,CLE_data.csv
CLE_172581,Cleveland Museum of Art,The Flight into Egypt,Drawing,"pen and brown ink and wash, heightened with white, over black chalk, on beige paper",c. 1590,Unclassified,https://openaccess-cdn.clevelandart.org/2015.67/2015.67_web.jpg,CLE_data.csv
CLE_161684,Cleveland Museum of Art,Curtain Panel with Scenes of Merrymaking,Textile,"Linen, undyed; wool: dyed; tapestry weave with supplementary weft wrapping",500s,Unclassified,https://openaccess-cdn.clevelandart.org/2000.5/2000.5_web.jpg,CLE_data.csv
CLE_97012,Cleveland Museum of Art,Finger Ring with Frog,Jewelry,gold,c. 1353–1337 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1916.658/1916.658_web.jpg,CLE_data.csv
CLE_151556,Cleveland Museum of Art,Statuette of a Man,Wood,ebony inlaid with cobalt blue glass,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1983.98/1983.98_web.jpg,CLE_data.csv
CLE_170029,Cleveland Museum of Art,"Egypt and Nubia, Volume I: The Great Temple of Aboo-Simble, Nubia",Print,color lithograph,1846,Unclassified,https://openaccess-cdn.clevelandart.org/2012.256/2012.256_web.jpg,CLE_data.csv
CLE_94003,Cleveland Museum of Art,Statuette of Kneeling King,Sculpture,"bronze, solid cast",304–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.575/1914.575_web.jpg,CLE_data.csv
CLE_169946,Cleveland Museum of Art,"Egypt & Nubia, Volume III, No. 8: Mosque of Sultan Hassan, Cairo",Print,color lithograph,1842–49,Unclassified,https://openaccess-cdn.clevelandart.org/2012.184/2012.184_web.jpg,CLE_data.csv
CLE_153801,Cleveland Museum of Art,The Flight into Egypt,Print,etching and engraving,c. 1652–54,Unclassified,https://openaccess-cdn.clevelandart.org/1987.92/1987.92_web.jpg,CLE_data.csv
CLE_101374,Cleveland Museum of Art,Squat Jar with Lug Handles,Vessels,marl clay pottery,c. 3400–3300 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.1987/1920.1987_web.jpg,CLE_data.csv
CLE_94114,Cleveland Museum of Art,Head of a King,Sculpture,granodiorite,c. 1069–715 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.663/1914.663_web.jpg,CLE_data.csv
CLE_688560,Cleveland Museum of Art,The Return of the Holy Family from Egypt,Drawing,"pen and black ink, gray opaque watercolor and white heightening on prepared yellow paper",c. 1695–1700,Unclassified,https://openaccess-cdn.clevelandart.org/2025.6/2025.6_web.jpg,CLE_data.csv
CLE_125887,Cleveland Museum of Art,Flight into Egypt,Drawing,"black, white and gray gouache; framing lines in black chalk",1740s?,Unclassified,https://openaccess-cdn.clevelandart.org/1948.13/1948.13_web.jpg,CLE_data.csv
CLE_159876,Cleveland Museum of Art,The Rest on the Flight into Egypt (recto),Drawing,"gray and graphite wash, with scraping and traces of black chalk",c. 1879–80,Unclassified,https://openaccess-cdn.clevelandart.org/1997.178.a/1997.178.a_web.jpg,CLE_data.csv
CLE_159063,Cleveland Museum of Art,Alabastron (stopper),Vessels,travertine,305–222 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.262.b/1995.262.b_web.jpg,CLE_data.csv
CLE_148266,Cleveland Museum of Art,Hedgehog,Scarabs,"steatite, originally glazed",c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1975.24/1975.24_web.jpg,CLE_data.csv
CLE_93957,Cleveland Museum of Art,Stele of Itetioqer and Family,Sculpture,painted limestone,c. 2123–2040 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.543/1914.543_web.jpg,CLE_data.csv
CLE_127176,Cleveland Museum of Art,Spearing Fish,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1949.499/1949.499_web.jpg,CLE_data.csv
CLE_159061,Cleveland Museum of Art,Alabastron,Vessels,travertine,305–222 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.262/1995.262_web.jpg,CLE_data.csv
CLE_159062,Cleveland Museum of Art,Alabastron,Vessels,travertine,305–222 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.262.a/1995.262.a_web.jpg,CLE_data.csv
CLE_101366,Cleveland Museum of Art,Relief of a King,Sculpture,limestone,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1979/1920.1979_web.jpg,CLE_data.csv
CLE_147992,Cleveland Museum of Art,Lion Head,Sculpture,glassy faience,664–332 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1974.87/1974.87_web.jpg,CLE_data.csv
CLE_108411,Cleveland Museum of Art,Roundel from a Blanket or Cover,Textile,tapestry weave with supplementary weft wrapping; undyed linen and dyed wool,300s–400s CE,Unclassified,https://openaccess-cdn.clevelandart.org/1926.141/1926.141_web.jpg,CLE_data.csv
CLE_94011,Cleveland Museum of Art,"Shawabty of Pinudjem I, High Priest of Amen and King",Funerary Equipment,bright blue faience with purple details,c. 990–969 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.582/1914.582_web.jpg,CLE_data.csv
CLE_128293,Cleveland Museum of Art,Two Boats with Female Mourners,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.282/1951.282_web.jpg,CLE_data.csv
CLE_125229,Cleveland Museum of Art,Square Ornament from a Tunic,Textile,Silk; complementary weft-faced twill weave with inner warps (samite),700s,Unclassified,https://openaccess-cdn.clevelandart.org/1947.192/1947.192_web.jpg,CLE_data.csv
CLE_94635,Cleveland Museum of Art,Fragment of a Necklace,Jewelry,"steatite, glass, carnelian, and faience",1540–1296 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1915.15/1915.15_web.jpg,CLE_data.csv
CLE_150919,Cleveland Museum of Art,Cosmetic Vessel,Vessels,anhydrite,c. 1980–1901 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1982.3/1982.3_web.jpg,CLE_data.csv
CLE_111410,Cleveland Museum of Art,Fragment of a Woodblock Print on Linen,Textile,"pigment, linen",1200s–1300s,Reliefs,https://openaccess-cdn.clevelandart.org/1929.907/1929.907_web.jpg,CLE_data.csv
CLE_108417,Cleveland Museum of Art,Ornamental Shoulder Bands from a Tunic,Textile,tapestry weave with supplementary weft wrapping; undyed linen and dyed wool,500s,Unclassified,https://openaccess-cdn.clevelandart.org/1926.145/1926.145_web.jpg,CLE_data.csv
CLE_145924,Cleveland Museum of Art,Funerary Portrait of a Woman,Painting,encaustic on linen,c. 138–92 CE,Reliefs,https://openaccess-cdn.clevelandart.org/1971.136/1971.136_web.jpg,CLE_data.csv
CLE_159299,Cleveland Museum of Art,Comb with Gazelle,Cosmetic Objects,wood,c. 1391–1353 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1995.90/1995.90_web.jpg,CLE_data.csv
CLE_94191,Cleveland Museum of Art,Cartonnage Mummy Case ,Funerary Equipment,"cartonnage, painted and gilded, with glass inlays",c. 50 BCE–50 CE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.715/1914.715_web.jpg,CLE_data.csv
CLE_94073,Cleveland Museum of Art,Headrest of Irut,Funerary Equipment,travertine,c. 2454–2140 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.626/1914.626_web.jpg,CLE_data.csv
CLE_127169,Cleveland Museum of Art,Mentuemhat as Priest with Staff and Scepter,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1949.492/1949.492_web.jpg,CLE_data.csv
CLE_149449,Cleveland Museum of Art,Model Basket as Amulet,Sculpture,Egyptian blue,c. 1069–945 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1978.90/1978.90_web.jpg,CLE_data.csv
CLE_110929,Cleveland Museum of Art,Flight into Egypt: The Embarkment of the Holy Family,Drawing,pen and brown ink and brush and brown wash over black chalk; framing lines in black chalk,c. 1735,Unclassified,https://openaccess-cdn.clevelandart.org/1929.443/1929.443_web.jpg,CLE_data.csv
CLE_94098,Cleveland Museum of Art,Squat Jar with Lug Handles,Vessels,pegmatitic hornblende diorite,2950–2573 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.648/1914.648_web.jpg,CLE_data.csv
CLE_102388,Cleveland Museum of Art,Book of the Dead of Hori,Funerary Equipment,papyrus,c. 1069–945 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1921.1032/1921.1032_web.jpg,CLE_data.csv
CLE_128291,Cleveland Museum of Art,Mentuemhat in Ecclesiastical Dress,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.280/1951.280_web.jpg,CLE_data.csv
CLE_101392,Cleveland Museum of Art,Seated Scribe of Medthu,Sculpture,"limestone, originally painted",c. 1479–1425 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.2004/1920.2004_web.jpg,CLE_data.csv
CLE_101370,Cleveland Museum of Art,Wavy-Lined Jar,Vessels,marl clay pottery,4000–3000 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.1983/1920.1983_web.jpg,CLE_data.csv
CLE_154030,Cleveland Museum of Art,Baboon on a Limestone Base,Sculpture,pale turquoise faience,380–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1988.154/1988.154_web.jpg,CLE_data.csv
CLE_127170,Cleveland Museum of Art,Seated Couple:  Mentuemhat's Ancestors,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1949.493/1949.493_web.jpg,CLE_data.csv
CLE_94392,Cleveland Museum of Art,Winged Pectoral Scarab,Scarabs,deep turquoise faience,664–525 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1914.766/1914.766_web.jpg,CLE_data.csv
CLE_128295,Cleveland Museum of Art,Men Bearing Tomb Equipment,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1951.284/1951.284_web.jpg,CLE_data.csv
CLE_101367,Cleveland Museum of Art,Black-Topped Beaker,Vessels,Nile silt pottery,c. 4000–3500 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.1980/1920.1980_web.jpg,CLE_data.csv
CLE_122512,Cleveland Museum of Art,Cat,Sculpture,bronze and gold,664–30 BCE OR 664–330 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1942.776/1942.776_web.jpg,CLE_data.csv
