ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
CLE_136482,Cleveland Museum of Art,Statue of Amenemhat III,Sculpture,granodiorite,c. 1859–1814 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1960.56/1960.56_web.jpg
CLE_154738,Cleveland Museum of Art,Palette in the Form of a Fish,Implements,graywacke,c. 3500–2950 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1989.32/1989.32_web.jpg
CLE_151352,Cleveland Museum of Art,Caryatid Mirror,Cosmetic Objects,bronze with black copper inlay?,c. 1540–1296 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1983.196/1983.196_web.jpg
CLE_101361,Cleveland Museum of Art,Trial Piece Worked on Both Sides,Sculpture,limestone,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1975.a/1920.1975.a_web.jpg
CLE_156951,Cleveland Museum of Art,Statuette of Isis and Horus,Sculpture,"bronze, solid cast",664–30 BCE OR 664–330 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1993.110/1993.110_web.jpg
CLE_136942,Cleveland Museum of Art,Head of Amenhotep III Wearing the Round Wig,Sculpture,brown quartzite,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1961.417/1961.417_web.jpg
CLE_160436,Cleveland Museum of Art,Amulet of a Crouching Bear,Amulets,green porphyry,664–332 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1998.27/1998.27_web.jpg
CLE_149884,Cleveland Museum of Art,Frog Amulet,Amulets,polychrome faience,c. 1380–1330 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1980.123/1980.123_web.jpg
CLE_101365,Cleveland Museum of Art,"Naophorous Statue of the Finance Officer and Overseer of Fields, Horwedja",Sculpture,graywacke,521–486 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1978/1920.1978_web.jpg
CLE_96303,Cleveland Museum of Art,Head of Sekhmet,Sculpture,granodiorite,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1916.2011/1916.2011_web.jpg
CLE_93985,Cleveland Museum of Art,Coffin of Bakenmut,Funerary Equipment,gessoed and painted sycamore fig ,c. 1000–900 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.561.a/1914.561.a_web.jpg
CLE_101378,Cleveland Museum of Art,Vulture Headdress Inlay,Jewelry,gold and semi-precious stones,100–1 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1920.1991/1920.1991_web.jpg
CLE_154807,Cleveland Museum of Art,Pendant,Jewelry,gold and turquoise,1069–715 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1989.39/1989.39_web.jpg
CLE_153630,Cleveland Museum of Art,Ostracon: Ramesses II Suckled by a Goddess,Sculpture,painted limestone,c. 1279–1213 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1987.156/1987.156_web.jpg
CLE_101360,Cleveland Museum of Art,Trial Piece Worked on Both Sides,Sculpture,limestone,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1975/1920.1975_web.jpg
CLE_93986,Cleveland Museum of Art,Coffin of Bakenmut (lid),Funerary Equipment,gessoed and painted sycamore fig,c. 1000–900 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.561.b/1914.561.b_web.jpg
CLE_94084,Cleveland Museum of Art,Decorated Jar with Boat Scenes,Vessels,marl clay pottery,c. 3300–3100 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.639/1914.639_web.jpg
CLE_155759,Cleveland Museum of Art,Statuette of a Serving Girl,Sculpture,"terracotta, originally painted",c. 1323–1186 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1991.107/1991.107_web.jpg
CLE_94055,Cleveland Museum of Art,Pomegranate Vase,Vessels,blue vitreous faience,1479–1425 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.612/1914.612_web.jpg
CLE_94113,Cleveland Museum of Art,Bust of Ankh-Hor,Sculpture,basalt,525–404 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.662/1914.662_web.jpg
CLE_135658,Cleveland Museum of Art,Talatat: Portrait of Nefertiti,Sculpture,painted sandstone,c. 1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1959.188/1959.188_web.jpg
CLE_94190,Cleveland Museum of Art,Coffin of Nesykhonsu (lid),Funerary Equipment,gessoed and painted sycamore fig,c. 976–889 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.714.b/1914.714.b_web.jpg
CLE_145923,Cleveland Museum of Art,Funerary Panel of a Man,Painting,encaustic on linen,about 138–92 CE,Reliefs,https://openaccess-cdn.clevelandart.org/1971.135/1971.135_web.jpg
CLE_126198,Cleveland Museum of Art,Striding Statue of Minnefer,Sculpture,painted limestone,c. 2377–2311 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1948.420/1948.420_web.jpg
CLE_101376,Cleveland Museum of Art,Shawabty of Nectanebo II,Funerary Equipment,pale turquoise faience,360–342 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1989/1920.1989_web.jpg
CLE_125224,Cleveland Museum of Art,Portrait Head of a Youth,Sculpture,marble,1–100 CE,Statuary,https://openaccess-cdn.clevelandart.org/1947.188/1947.188_web.jpg
CLE_157614,Cleveland Museum of Art,Cosmetic Jar in the Form of the God Bes,Vessels,Egyptian blue,664–525 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.13/1995.13_web.jpg
CLE_102377,Cleveland Museum of Art,Canopic Jar with Jackal's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1021.a/1921.1021.a_web.jpg
CLE_102366,Cleveland Museum of Art,Canopic Jar with Falcon's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1018/1921.1018_web.jpg
CLE_127174,Cleveland Museum of Art,Male Offering Bearer,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1949.497/1949.497_web.jpg
CLE_159217,Cleveland Museum of Art,Flint in the Form of a Bird,Implements,tan-colored flint,4000–3000 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1995.40/1995.40_web.jpg
CLE_102368,Cleveland Museum of Art,Canopic Jar with Falcon's Head (lid),Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1018.b/1921.1018.b_web.jpg
CLE_102367,Cleveland Museum of Art,Canopic Jar with Falcon's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1018.a/1921.1018.a_web.jpg
CLE_102378,Cleveland Museum of Art,Canopic Jar with Jackal's Head (lid),Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1021.b/1921.1021.b_web.jpg
CLE_311852,Cleveland Museum of Art,Rest on the Flight to Egypt,Drawing,charcoal,c. 1879,Reliefs,https://openaccess-cdn.clevelandart.org/2018.74/2018.74_web.jpg
CLE_160974,Cleveland Museum of Art,Pilgrim's Flask with Saint Menas,Ceramic,terracotta,400–600 CE,Pottery,https://openaccess-cdn.clevelandart.org/1999.230/1999.230_web.jpg
CLE_102376,Cleveland Museum of Art,Canopic Jar with Jackal's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1021/1921.1021_web.jpg
CLE_135656,Cleveland Museum of Art,Talatat: Nefertiti Offers to the Aten,Sculpture,painted sandstone,1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1959.186/1959.186_web.jpg
CLE_151963,Cleveland Museum of Art,Wild Bull Hunt Scarab of Amenhotep III,Scarabs,steatite,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1984.36/1984.36_web.jpg
CLE_94103,Cleveland Museum of Art,Offering Table,Sculpture,granodiorite,305–30 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1914.655/1914.655_web.jpg
CLE_94189,Cleveland Museum of Art,Coffin of Nesykhonsu,Funerary Equipment,gessoed and painted sycamore fig ,c. 976–889 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.714.a/1914.714.a_web.jpg
CLE_142646,Cleveland Museum of Art,Inlay:  Head of a King,Inlays,red jasper,380–246 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1966.370/1966.370_web.jpg
CLE_159515,Cleveland Museum of Art,Statue of Minemheb,Sculpture,granodiorite,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1996.28/1996.28_web.jpg
CLE_97012,Cleveland Museum of Art,Finger Ring with Frog,Jewelry,gold,c. 1353–1337 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1916.658/1916.658_web.jpg
CLE_151556,Cleveland Museum of Art,Statuette of a Man,Wood,ebony inlaid with cobalt blue glass,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1983.98/1983.98_web.jpg
CLE_94003,Cleveland Museum of Art,Statuette of Kneeling King,Sculpture,"bronze, solid cast",304–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.575/1914.575_web.jpg
CLE_101374,Cleveland Museum of Art,Squat Jar with Lug Handles,Vessels,marl clay pottery,c. 3400–3300 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.1987/1920.1987_web.jpg
CLE_94114,Cleveland Museum of Art,Head of a King,Sculpture,granodiorite,c. 1069–715 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.663/1914.663_web.jpg
CLE_688560,Cleveland Museum of Art,The Return of the Holy Family from Egypt,Drawing,"pen and black ink, gray opaque watercolor and white heightening on prepared yellow paper",c. 1695–1700,Reliefs,https://openaccess-cdn.clevelandart.org/2025.6/2025.6_web.jpg
CLE_159063,Cleveland Museum of Art,Alabastron (stopper),Vessels,travertine,305–222 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.262.b/1995.262.b_web.jpg
CLE_148266,Cleveland Museum of Art,Hedgehog,Scarabs,"steatite, originally glazed",c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1975.24/1975.24_web.jpg
CLE_93957,Cleveland Museum of Art,Stele of Itetioqer and Family,Sculpture,painted limestone,c. 2123–2040 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.543/1914.543_web.jpg
CLE_159061,Cleveland Museum of Art,Alabastron,Vessels,travertine,305–222 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.262/1995.262_web.jpg
CLE_159062,Cleveland Museum of Art,Alabastron,Vessels,travertine,305–222 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1995.262.a/1995.262.a_web.jpg
CLE_101366,Cleveland Museum of Art,Relief of a King,Sculpture,limestone,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1979/1920.1979_web.jpg
CLE_147992,Cleveland Museum of Art,Lion Head,Sculpture,glassy faience,664–332 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1974.87/1974.87_web.jpg
CLE_94011,Cleveland Museum of Art,"Shawabty of Pinudjem I, High Priest of Amen and King",Funerary Equipment,bright blue faience with purple details,c. 990–969 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.582/1914.582_web.jpg
CLE_128293,Cleveland Museum of Art,Two Boats with Female Mourners,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.282/1951.282_web.jpg
CLE_94635,Cleveland Museum of Art,Fragment of a Necklace,Jewelry,"steatite, glass, carnelian, and faience",1540–1296 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1915.15/1915.15_web.jpg
CLE_150919,Cleveland Museum of Art,Cosmetic Vessel,Vessels,anhydrite,c. 1980–1901 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1982.3/1982.3_web.jpg
CLE_145924,Cleveland Museum of Art,Funerary Portrait of a Woman,Painting,encaustic on linen,c. 138–92 CE,Reliefs,https://openaccess-cdn.clevelandart.org/1971.136/1971.136_web.jpg
CLE_159299,Cleveland Museum of Art,Comb with Gazelle,Cosmetic Objects,wood,c. 1391–1353 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1995.90/1995.90_web.jpg
CLE_94191,Cleveland Museum of Art,Cartonnage Mummy Case ,Funerary Equipment,"cartonnage, painted and gilded, with glass inlays",c. 50 BCE–50 CE,Statuary,https://openaccess-cdn.clevelandart.org/1914.715/1914.715_web.jpg
CLE_94073,Cleveland Museum of Art,Headrest of Irut,Funerary Equipment,travertine,c. 2454–2140 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.626/1914.626_web.jpg
CLE_127169,Cleveland Museum of Art,Mentuemhat as Priest with Staff and Scepter,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1949.492/1949.492_web.jpg
CLE_149449,Cleveland Museum of Art,Model Basket as Amulet,Sculpture,Egyptian blue,c. 1069–945 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1978.90/1978.90_web.jpg
CLE_94098,Cleveland Museum of Art,Squat Jar with Lug Handles,Vessels,pegmatitic hornblende diorite,2950–2573 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.648/1914.648_web.jpg
CLE_102388,Cleveland Museum of Art,Book of the Dead of Hori,Funerary Equipment,papyrus,c. 1069–945 BCE,Reliefs,https://openaccess-cdn.clevelandart.org/1921.1032/1921.1032_web.jpg
CLE_128291,Cleveland Museum of Art,Mentuemhat in Ecclesiastical Dress,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.280/1951.280_web.jpg
CLE_101392,Cleveland Museum of Art,Seated Scribe of Medthu,Sculpture,"limestone, originally painted",c. 1479–1425 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.2004/1920.2004_web.jpg
CLE_101370,Cleveland Museum of Art,Wavy-Lined Jar,Vessels,marl clay pottery,4000–3000 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.1983/1920.1983_web.jpg
CLE_154030,Cleveland Museum of Art,Baboon on a Limestone Base,Sculpture,pale turquoise faience,380–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1988.154/1988.154_web.jpg
CLE_127170,Cleveland Museum of Art,Seated Couple:  Mentuemhat's Ancestors,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1949.493/1949.493_web.jpg
CLE_94392,Cleveland Museum of Art,Winged Pectoral Scarab,Scarabs,deep turquoise faience,664–525 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1914.766/1914.766_web.jpg
CLE_128295,Cleveland Museum of Art,Men Bearing Tomb Equipment,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1951.284/1951.284_web.jpg
CLE_101367,Cleveland Museum of Art,Black-Topped Beaker,Vessels,Nile silt pottery,c. 4000–3500 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.1980/1920.1980_web.jpg
CLE_122512,Cleveland Museum of Art,Cat,Sculpture,bronze and gold,664–30 BCE OR 664–330 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1942.776/1942.776_web.jpg
CLE_94449,Cleveland Museum of Art,Sidelocks and Elements of Wig Decoration,Jewelry,Electrum (?) over a calcite gesso; silver,1980–1801 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1914.795/1914.795_web.jpg
CLE_148991,Cleveland Museum of Art,Giraffe Head,Cosmetic Objects,ivory,c. 1540–1296 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1977.146/1977.146_web.jpg
CLE_94079,Cleveland Museum of Art,Canopic Jar with Lid,Funerary Equipment,limestone,1540–1296 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.631/1914.631_web.jpg
CLE_98363,Cleveland Museum of Art,Cat Coffin,Funerary Equipment,"bronze, hollow cast",305–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1917.998/1917.998_web.jpg
CLE_127173,Cleveland Museum of Art,Female Offering Bearer,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1949.496/1949.496_web.jpg
CLE_150988,Cleveland Museum of Art,Chair or Bed Leg with the God Bes,Furniture and woodwork,tamarisk,1540–1296 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1982.42/1982.42_web.jpg
CLE_94112,Cleveland Museum of Art,Block Statue of Djedbastetiufankh,Sculpture,limestone,c. 664–610 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.661/1914.661_web.jpg
CLE_94068,Cleveland Museum of Art,Vessel in the Form of an Ostrich Egg,Vessels,travertine,c. 1540–1296 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.620/1914.620_web.jpg
CLE_128292,Cleveland Museum of Art,Mentuemhat in Ecclesiastical Dress,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.281/1951.281_web.jpg
CLE_128294,Cleveland Museum of Art,Men Trussing an Ox,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.283/1951.283_web.jpg
CLE_127172,Cleveland Museum of Art,Two Offering Bearers,Sculpture,limestone,c. 667–647 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1949.495/1949.495_web.jpg
CLE_122513,Cleveland Museum of Art,Statuette of Harpocrates,Sculpture,"bronze, solid cast",304–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1942.777/1942.777_web.jpg
CLE_127175,Cleveland Museum of Art,Marsh Scene with Cat and Birds,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1949.498/1949.498_web.jpg
CLE_128298,Cleveland Museum of Art,Priests Performing Funeral Rites,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.287/1951.287_web.jpg
CLE_102369,Cleveland Museum of Art,Canopic Jar with Man's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1019/1921.1019_web.jpg
CLE_128296,Cleveland Museum of Art,Small Head of a Man,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.285/1951.285_web.jpg
CLE_112312,Cleveland Museum of Art,Relief of Nyankhnesut Seated,Sculpture,painted limestone,c. 2311–2281 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1930.735/1930.735_web.jpg
CLE_128297,Cleveland Museum of Art,Priests Performing Funeral Rites,Sculpture,limestone,c. 667–647 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1951.286/1951.286_web.jpg
CLE_141479,Cleveland Museum of Art,False Door of Nykara,Sculpture,limestone,2408–2341 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1964.91/1964.91_web.jpg
CLE_102371,Cleveland Museum of Art,Canopic Jar with Man's Head (lid),Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1019.b/1921.1019.b_web.jpg
CLE_117502,Cleveland Museum of Art,Temptation of Saint Anthony of Egypt,Sculpture,stone,c. 1400s,Statuary,https://openaccess-cdn.clevelandart.org/1938.168/1938.168_web.jpg
CLE_101386,Cleveland Museum of Art,Votive Head of a King,Sculpture,limestone,305–246 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1999/1920.1999_web.jpg
CLE_152161,Cleveland Museum of Art,Spouted Bowl,Vessels,anorthosite gneiss,c. 2573–2454 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1985.108/1985.108_web.jpg
CLE_101393,Cleveland Museum of Art,Black-Topped Beaker,Vessels,Nile silt pottery,4500–3000 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.2005/1920.2005_web.jpg
CLE_160975,Cleveland Museum of Art,Pilgrim's Flask with Saint Menas,Ceramic,terracotta,400–600 CE,Pottery,https://openaccess-cdn.clevelandart.org/1999.231/1999.231_web.jpg
CLE_101377,Cleveland Museum of Art,Arched Sistrum,Implements,"bronze, hollow cast",380–343 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1990/1920.1990_web.jpg
CLE_102373,Cleveland Museum of Art,Canopic Jar with Baboon's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1020/1921.1020_web.jpg
CLE_102374,Cleveland Museum of Art,Canopic Jar with Baboon's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1020.a/1921.1020.a_web.jpg
CLE_160977,Cleveland Museum of Art,Pilgrim's Flask with Saint Menas,Ceramic,terracotta,400–600,Pottery,https://openaccess-cdn.clevelandart.org/1999.233/1999.233_web.jpg
CLE_98299,Cleveland Museum of Art,Head of Queen Hatshepsut (?),Sculpture,graywacke,c. 1479–1457 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1917.976/1917.976_web.jpg
CLE_130392,Cleveland Museum of Art,The Return of the Holy Family to Nazareth,Painting,oil on canvas,c. 1627,Reliefs,https://openaccess-cdn.clevelandart.org/1953.156/1953.156_web.jpg
CLE_152144,Cleveland Museum of Art,Cosmetic Vessel (Beaker),Vessels,obsidian and gold,c. 1859–1814 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1985.107/1985.107_web.jpg
CLE_101362,Cleveland Museum of Art,Trial Piece Worked on Both Sides,Sculpture,limestone,c. 1391–1353 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1975.b/1920.1975.b_web.jpg
CLE_102370,Cleveland Museum of Art,Canopic Jar with Man's Head,Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1019.a/1921.1019.a_web.jpg
CLE_113309,Cleveland Museum of Art,Decorated Situla,Vessels,bronze,305–30 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1932.32/1932.32_web.jpg
CLE_94250,Cleveland Museum of Art,Shawabty of Ditamenpaankh,Funerary Equipment,terracotta,715–656 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.718.2/1914.718.2_web.jpg
CLE_135657,Cleveland Museum of Art,Talatat: Men Hoeing the Earth,Sculpture,painted sandstone,c. 1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1959.187/1959.187_web.jpg
CLE_102375,Cleveland Museum of Art,Canopic Jar with Baboon's Head (lid),Funerary Equipment,travertine,664–525 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1921.1020.b/1921.1020.b_web.jpg
CLE_154727,Cleveland Museum of Art,Mit Rahina Ware Vessel,Vessels,polychrome faience,200–100 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1989.31/1989.31_web.jpg
CLE_101391,Cleveland Museum of Art,Seated Pair Statue,Sculpture,painted limestone,c. 1479–1425 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.2003/1920.2003_web.jpg
CLE_94203,Cleveland Museum of Art,Shawabty Box of Ditamenpaankh (cover),Funerary Equipment,painted wood,715–656 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.718.1.b/1914.718.1.b_web.jpg
