ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
MET_329810,Met Museum,"Head from a figure of a child god, perhaps Harpokrates","Head from an amulet of Harpokrates, child god",Faience,Late Period (Saite)–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_42_EGDP031845.jpg
MET_329811,Met Museum,"Portion of a Face, possibly a Child God",,Lapis lazuli,Late Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_43_EGDP032515.jpg
MET_329812,Met Museum,Head of a Statuette of Ptah,,Faience,New Kingdom or later,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_44_EGDP031968.jpg
MET_329818,Met Museum,Cosmetic Vessel,,Anhydrite,Middle Kingdom–Second Intermediate Period,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_50_EGDP032094.jpg
MET_329819,Met Museum,Cosmetic Vessel,,Anhydrite,Middle Kingdom–Second Intermediate Period,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_51_EGDP031896.jpg
MET_329820,Met Museum,Harpokrates Amulet,Harpokrates Amulet,Faience,Third Intermediate Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21436-001.jpg
MET_329821,Met Museum,Fragmentary Head of an Oryx,,Faience,New Kingdom–Third Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_53_EGDP035788.jpg
MET_329822,Met Museum,Amulet of a Bes-image,,Faience,Third Intermediate Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_54_EGDP031979.jpg
MET_329823,Met Museum,Bowl with fish and lotuses,Bowl with fish and lotuses,Faience,New Kingdom,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_55_EGDP031888.jpg
MET_329825,Met Museum,Container in the Form of a Female Dwarf,,Faience,Middle Kingdom,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_57_EGDP031943.jpg
MET_329827,Met Museum,Small High-shouldered Jar with Lugs,"high-shouldered jar, unpierced lugs",Diorite,Early Dynastic Period,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_59_EGDP032107.jpg
MET_329840,Met Museum,Reclining Lion,Reclining Lion,Limestone,Late Period–Ptolemaic Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_69_EGDP031903.jpg
MET_329847,Met Museum,Hand of a Seated Deity,,Granite,New Kingdom,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/DP-22023-001.jpg
MET_329849,Met Museum,Head of a Thutmose IV or a Young Amenhotep III,"head, king, Thutose IV, Amenhotep III, blue crown, khepresh","Listwaenite (i.e. low grade metamorphosed peridotite, found in several areas flanking the Red Sea, including Oman peninsula)",New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21437-002.jpg
MET_329850,Met Museum,Two-Handled Amphora,,Faience,Roman Period,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-22019-004.jpg
MET_329853,Met Museum,Lion-headed goddess suckling the king,Lion-headed goddess suckling the king,Faience,"Third Intermediate Period, Kushite Period",Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-39616-001.jpg
MET_329854,Met Museum,Profile Face Inlay of King Akhenaten,,Carnelian,New Kingdom,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_76_EGDP032528.jpg
MET_329855,Met Museum,Profile Face Inlay,,Faience,Late Period–Ptolemaic Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_77_EGDP032526.jpg
MET_329856,Met Museum,Bead with Royal Name,"Bead, cartouche, royal",Faience,New Kingdom–Third Intermediate Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_78_EGDP032517.jpg
MET_329858,Met Museum,"Head of a King, Probably Khafre, Wearing the White Crown","Head of a King, Probably Khafre, Wearing the White Crown","Limestone, cupreous metal, possibly paint, probably obsidian (pupil), stone(sclera)",Old Kingdom,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20837-002.jpg
MET_329859,Met Museum,Shabti of Nebneheh,Shabti of Nebneheh,Faience,New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_81_EGDP032529.jpg
MET_329860,Met Museum,Relief plaque depicting a royal figure,"relief, plaque, sculptor's model, donation, royal, head",Limestone,Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_82_EGDP032546.jpg
MET_329861,Met Museum,Relief Plaque with head of a goddess or a queen,"relief, plaque, sculptor's model, donation, royal, head, queen, goddess",Limestone,Late Period–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_83_EGDP032508.jpg
MET_329862,Met Museum,Shabti of the Overseer of the Fleet Hekaemsaf,"Shabti (Ushabti) of the Overseer of the Fleet, Hekaemsaf",Faience,Late Period (Saite),Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_84_EGDP031911.jpg
MET_329863,Met Museum,Head of a King with a Nemes Headdress,Head of a King with a Nemes Headdress,Crystalline or dense limestone,Late Period or Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21438-001.jpg
MET_329864,Met Museum,Head of a Queen Wearing a Vulture Headdress,"head, queen, vulture headdress","Limestone,  paint",New Kingdom,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20838-001.jpg
MET_329865,Met Museum,Head of a King with a Nemes Headdress,Head of a King with a Nemes Headdress,Limestone,Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_87_EGDP032566.jpg
MET_329866,Met Museum,Head of a Kushite King,,Egyptian blue,Third Intermediate Period (Kushite),Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-37980-001.jpg
MET_329867,Met Museum,Head of a Fourth Dynasty King in a White Crown,Head of a Fourth Dynasty King in a White Corwn,"Limestone, traces of paint",Old Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-30952-001.jpg
MET_329869,Met Museum,"Upper part of Isis, from a figure of the goddess nursing Horus","Upper part of Isis, from a figure of the goddess nursing Horus",Egyptian blue,Third Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_91_EGDP032159.jpg
MET_329870,Met Museum,"Male Head with a Short Wig, Possibly Pehenptah","Male Head with a Short Wig, Possibly Pehenptah","Limestone, paint",Old Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20841-001.jpg
MET_329871,Met Museum,Head of Amun with inlaid eyes,Head of Amun with inlaid eyes,Egyptian blue,Third Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20842-001.jpg
MET_329887,Met Museum,Head from the figure of an official,Head from the figure of an official,Fine-grained greenish-grey stone,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_109_EGDP033072.jpg
MET_329888,Met Museum,Figure of a Standing Man with a Long Kilt,Figure of a Standing Man with a Long Kilt,"Wood, paint",Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_110_EGDP038095.jpg
MET_329889,Met Museum,Figure of a Striding Man with a Long Kilt,Figure of a Striding Man in a Long Kilt,Wood,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP332334.jpg
MET_329890,Met Museum,"Left Side of a Statuette, Probably a Nude Male","Left Side of a Statuette, Probably a Nude Male","Wood, paint",Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20848-001.jpg
MET_329891,Met Museum,Head and Upper Torso of a Seated Official,Head and Upper Torso of a Seated Official,Steatite or serpentinite,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_113_EGDP033054.jpg
MET_329902,Met Museum,Unknown Woman from a Pair Statue,,"Limestone, paint",New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-22024-001.jpg
MET_329903,Met Museum,Upper Part of a Seated Statue of Pharaoh Senwosret III or Amenemhat III,Upper Part of a Seated Statue of Pharaoh Senwosret III or Amenemhat III,Steatite or serpentinite,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_124_EGDP033375.jpg
MET_329904,Met Museum,Statue of the Royal Treasurer Taruru,,Quartzite,Third Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20849-001.jpg
MET_329905,Met Museum,Shabti inscribed for Nesbanebdjedet,Shabti of Nesbanebdjedet,Faience,Late Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_126_EGDP032480.jpg
MET_329906,Met Museum,Head of Amenhotep III Wearing the White Crown,,Granite,New Kingdom,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20850-002.jpg
MET_329907,Met Museum,Striding Thoth,"Ibis, striding, Thoth, amulet",Faience,Late Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_128_EGDP032165.jpg
MET_329908,Met Museum,"Figure of baboon on a basket and with a pillar, the shebet offering","baboon, squatting, shebet, basket",Faience,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_129_EGDP032555.jpg
MET_329910,Met Museum,Pediese kneeling and pouring libation,"priest, Pediese, libation, kneeling",Copper alloy,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_138_EGDP034196.jpg
MET_329911,Met Museum,Figure of a Striding Man,Figure of a Striding Man,Serpentinite,Second Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20851-001.jpg
MET_329912,Met Museum,Isis nursing Horus,Isis nursing Horus,Faience,Late Period–Ptolemaic Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_133_EGDP032139.jpg
MET_329921,Met Museum,Upper Part of a Statue Probably Depicting a Man,Upper Part of a Statue Probably Depicting a Man,"Wood, paint",Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_141_EGDP032776.jpg
MET_329922,Met Museum,Head of a Man with a Shaved Head,Head of a Man with a Shaved Head,"Dense, gray-black hard stone",Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_142_EGDP032782.jpg
MET_329923,Met Museum,Horus amulet in the shape of a falcon with the double crown,Horus amulet in the shape of a falcon with the double crown,Faience,Third Intermediate Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_143_EGDP032819.jpg
MET_329924,Met Museum,Statuette of Imhotep,"Imhotep, seated, pillar",Red quartzite,Late Period–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_144_EGDP032590.jpg
MET_329925,Met Museum,Falcon Amulet,Falcon Amulet,Faience,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_145_EGDP032825.jpg
MET_329926,Met Museum,Head of a Man,Head of a Man,Basalt or metagraywacke,Late Period (Saite),Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20852-001.jpg
MET_329927,Met Museum,Forepart of a reclining lion,Forepart of a reclining lion,Limestone,Late Period–Ptolemaic Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_147_EGDP032556.jpg
MET_329928,Met Museum,Upper Part of the Figure of a Seated Cat,Upper Part of the Figure of a Seated Cat,Cupreous metal,Late Period (Saite) – Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_148_EGDP034203.jpg
MET_329929,Met Museum,Statuette of a Nude Woman,Statuette of a Nude Woman,"Wood, paint, paste",Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_149_EGDP032859.jpg
MET_329930,Met Museum,Shabti of the Overseer of the Fleet Hekaemsaf,"Shabti (Ushabti) of the Overseer of the Fleet, Hekaemsaf",Faience,Late Period (Saite),Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_150_EGDP031917.jpg
MET_329931,Met Museum,Figure of a Sacred (likely Apis) Bull,"Figure of an Apis Bull, sacred",Cupreous metal,Late Period (Saite)–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_151_EGDP032814.jpg
MET_329934,Met Museum,Head possibly from a figure of Amun-Min,Head of a figure of Amun-Min,Steatite,Late Period (Saite) or later,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_153_EGDP032373.jpg
MET_329935,Met Museum,Man with a Shaved Head,Man with a Shaved Head,Possibly red quartzite or basalt,Late Period or Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20854-002.jpg
MET_329936,Met Museum,Relief plaque with male figure on one side and a bird on the other,"relief, plaque, sculptor's model, donation, bird, kilt",Limestone,Late Period–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_155_EGDP032474.jpg
MET_329937,Met Museum,Pendant of an ibis wearing an atef crown,"Figure of an ibis wearing an atef crown, with a suspension loop, pendant",Cupreous metal,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_156_EGDP032498-B.jpg
MET_329938,Met Museum,Upper part of a figure of a seated official,Upper part of a figure of a seated official,Steatite or serpentinite,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_159_EGDP033066.jpg
MET_329939,Met Museum,Sow Amulet,Sow Amulet,Faience,Third Intermediate Period–Late Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_9_EGDP032878.jpg
MET_329940,Met Museum,"Amulet of a goddess, possibly Nephthys","Amulet of a goddess, possibly Nephthys",Faience,Third Intermediate Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_10_EGDP032882.jpg
MET_329941,Met Museum,Rosette Stamp Seal with Striding Lion,"stamp seal, rosette, lion",Glazed steatite,Late New Kingdom–Early Third Intermediate Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_27_EGDP032524.jpg
MET_329942,Met Museum,Scarab inscribed with the name Menkheperre,"scarab, hieroglyphs, menkheperre, winged sun disk ostrich feathers","Steatite, traces of green glaze",Late New Kingdom–Early Third Intermediate Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_28_EGDP032911.jpg
MET_329943,Met Museum,Head of Ptah,,"Egyptian blue, gold leaf",New Kingdom or later,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21434-002.jpg
MET_329944,Met Museum,Head of a Woman,,Faience (?),Third Intermediate Period–Late Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_46_EGDP031985.jpg
MET_329945,Met Museum,Head of Ptah,,Faience,New Kingdom or later,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_47_EGDP031956.jpg
MET_329946,Met Museum,"Head, probably from a composite statuette","head, composite, aksum, sumerian, drilled",Serpentine,Meroitic,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21435-001.jpg
MET_329955,Met Museum,Upper part of a male seated figure,Upper part of a male seated figure,Fine-grained grey stone (graywacke?),Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_160_EGDP032140.jpg
MET_329956,Met Museum,A Polymorphic Deity,"canid, jackal, Wepwawet, Anugis, seated, tail, quiver, bow, feathered throne",Wood,Late Period–Ptolemaic Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/DP-39617-005.jpg
MET_329958,Met Museum,Baboon holding an inscribed stela dedicated to Iretherukhef,"baboon, Iretherukhef, Hori, Sehrethenu",Copper alloy,Late Period,Reliefs,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_163_EGDP032957.jpg
MET_329959,Met Museum,Faience Ribbed Jar,,Faience,New Kingdom,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_164_EGDP032478.jpg
MET_329960,Met Museum,Seated figure of Amun,"Seated, Amun",Limestone,Third Intermediate Period or Saite Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_165_EGDP032802.jpg
MET_329961,Met Museum,Figure of a Seated Cat,Figure of a seated cat,Cupreous alloy,Late Period (Saite)–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_166_EGDP032767.jpg
MET_329962,Met Museum,Relief plaque with ram's head,"relief, plaque, sculptor's model, donation, ram",Limestone,Late Period–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_167_EGDP032768.jpg
MET_329963,Met Museum,"Fragmentary Head of a Man, Belonging to a Block Statue",,Granodiorite,New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_168_EGDP032454.jpg
MET_329965,Met Museum,Statuette of a Striding Man in a Kilt,Statuette of a Striding Man in a Kilt,"Wood, paint, pinkish colored paste",Early Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_170_EGDP034552.jpg
MET_329966,Met Museum,Two-handled Jar,"jar, two-handled",Faience,Roman Period,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-22020-001.jpg
MET_329967,Met Museum,Talatat with Nubians and Syrians in Adoration,"Talatat, Syrians, Nubians, Amarna",Sandstone,"New Kingdom, Amarna Period",Reliefs,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_172_EGDP032462.jpg
MET_329969,Met Museum,Upper Part of the Head of a Man,Upper Part of the Head of a Man,Basalt or graywacke,Late Period (Saite),Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_174_EGDP032466_1.jpg
MET_329975,Met Museum,Head of a Man,Head of a Man,Probably granite,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_175_EGDP032153.jpg
MET_330125,Met Museum,Bald-headed Man Wearing Gold Collars,,Steatite or schist,New Kingdom,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20855-002.jpg
MET_330126,Met Museum,Head of a Man of Nubian Descent,Head of a Man of Nubian Descent,Serpentinite,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-20856-001.jpg
MET_544500,Met Museum,Throw Stick,Throw Stick,Ivory (tinted),New Kingdom,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-19_2_19_EGDP035187.jpg
MET_544501,Met Museum,Blue-Painted Ibex Amphora from Malqata,"Amphora, ibex, blue-painted ware","pottery, white cream slip, paint",New Kingdom,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/11.215.460_view_1.jpg
MET_544502,Met Museum,Ceiling painting from the palace of Amenhotep III,"Ceiling painting, palace of Amenhotep III","Dried Mud, mud plaster, paint, gesso",New Kingdom,Reliefs,https://images.metmuseum.org/CRDImages/eg/web-large/DT256117.jpg
MET_544503,Met Museum,Bench Side-Panel Depicting a Calf in the Marshes,"Painting, calf in the marshes","Mud plaster, paint",New Kingdom,Reliefs,https://images.metmuseum.org/CRDImages/eg/web-large/11.215.453.jpg
MET_544504,Met Museum,Bench End-Panel from a shelf support in the Palace of Amenhotep III-Fruit Stand,Painting on mud plaster,"Mud plaster, paint",New Kingdom,Reliefs,https://images.metmuseum.org/CRDImages/eg/web-large/11.215.454.jpg
MET_544507,Met Museum,Blue-painted Jar from Malqata,"Jar, open-mouthed, blue-painted ware, birds","pottery, slip, paint",New Kingdom,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/11.215.462_view_3.jpg
MET_544508,Met Museum,Neck of a Wide-Mouthed Hathor Jar,"Jar, wide mouth, Hathor emblem, blue-painted ware","pottery, slip, paint",New Kingdom,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/DP160296.jpg
MET_544509,Met Museum,Menat necklace from Malqata,"Music, menat, cat","Faience, bronze or copper alloy, glass, agate, carnelian, lapis lazuli, turquoise",New Kingdom,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DT234778.jpg
MET_544510,Met Museum,Hieratic Jar Label,"Jar Label, fat",Pottery,New Kingdom,Pottery,https://images.metmuseum.org/CRDImages/eg/web-large/17.10.2_EGDP011882.jpg
