ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
CHI_136322,Art Institute of Chicago,Amulet of the God Horus as a Falcon,Costume and Accessories,Faience,Late Period–Ptolemaic Period (664–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/dfcd426e-fd3e-c9e5-e0ab-64d69753a0c0/full/600,/0/default.jpg"
CHI_136011,Art Institute of Chicago,Four Eyes of the God Horus (Wedjat) Amulet,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/6e1c1f90-ad98-cf5a-7291-3391c4589b02/full/600,/0/default.jpg"
CHI_282,Art Institute of Chicago,Miniature Pyxis (Container for Personal Objects),Vessel,"terracotta, with silhouette decoration",300-270 BCE,Pottery,"https://www.artic.edu/iiif/2/99afadf9-919e-6759-64f6-1a23aae8219a/full/600,/0/default.jpg"
CHI_845,Art Institute of Chicago,Fragment of a Necklace,Costume and Accessories,Gold,3rd century,Jewellery,"https://www.artic.edu/iiif/2/051007c3-2ef5-64bf-f7dc-71b123d75e4d/full/600,/0/default.jpg"
CHI_136208,Art Institute of Chicago,Amulet of the Crown of Lower Egypt,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/c9637c22-fc93-1e60-4e5e-0c9bacacadaf/full/600,/0/default.jpg"
CHI_9790,Art Institute of Chicago,Coin Depicting the God Zeus,Coin,Copper,"117-111 BCE, issued by Ptolemy X (Soter II)",Unclassified,"https://www.artic.edu/iiif/2/15b5193c-5abb-a6ad-e861-9769b857c91e/full/600,/0/default.jpg"
CHI_617,Art Institute of Chicago,Statuette of Osiris,Sculpture,Copper alloy,"Late Period, Dynasty 26 or later, 664–332 BCE",Statuary,"https://www.artic.edu/iiif/2/16b0b094-c2a2-94df-fe8b-b67241c9c808/full/600,/0/default.jpg"
CHI_64167,Art Institute of Chicago,"Nephthys, Horus the Child, and Isis Amulet",Costume and Accessories,Faience,"Late Period, Dynasty 26 (664–525 BCE)",Jewellery,"https://www.artic.edu/iiif/2/e5a75f8f-ff96-f6cd-cd09-8a02a092e528/full/600,/0/default.jpg"
CHI_136207,Art Institute of Chicago,Amulet of the Crown of Upper Egypt,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/45bf7787-ab20-46b2-74a3-da7ae0b4c42a/full/600,/0/default.jpg"
CHI_551,Art Institute of Chicago,Shabti of Wahibreemakhet,Funerary Object,Faience,"Late Period, Dynasty 26 (664–525 BCE)",Statuary,"https://www.artic.edu/iiif/2/7065688f-f571-dbd0-9e97-3140c8076a95/full/600,/0/default.jpg"
CHI_10062,Art Institute of Chicago,Antoninianus (Coin) Portraying Mariniana,Coin,Billon,254,Unclassified,"https://www.artic.edu/iiif/2/0cd706ee-b87b-3896-fc55-52c91c979f3c/full/600,/0/default.jpg"
CHI_135832,Art Institute of Chicago,Amulet of Mut and Khonsu,Costume and Accessories,Faience,Third Intermediate Period (about 1069–664 BCE),Jewellery,"https://www.artic.edu/iiif/2/bf78023e-d653-0925-30b9-dde18a421986/full/600,/0/default.jpg"
CHI_140646,Art Institute of Chicago,Double Crown Amulet,Costume and Accessories,Gold,Ptolemaic Period (332–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/8f1f997f-b1d7-f2af-d57d-d6a37ff650c2/full/600,/0/default.jpg"
CHI_532,Art Institute of Chicago,Bottle,Vessel,"Glass, mold-blown",1st century,Pottery,"https://www.artic.edu/iiif/2/69fa6133-2b25-30b8-4234-def11cc9b70e/full/600,/0/default.jpg"
CHI_136031,Art Institute of Chicago,Amulet of a Cobra,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/84a2a8b0-b965-ee9f-2711-64df2d7aa1c7/full/600,/0/default.jpg"
CHI_58135,Art Institute of Chicago,Portrait Head of Emperor Hadrian,Sculpture,Marble,130-138,Statuary,"https://www.artic.edu/iiif/2/4ba54d83-416b-92bf-6098-89ffec76a496/full/600,/0/default.jpg"
CHI_13852,Art Institute of Chicago,Portrait Head of Antinous,Sculpture,Marble,about 130-138,Statuary,"https://www.artic.edu/iiif/2/b3c824b5-b972-ad4d-11c1-61334741129e/full/600,/0/default.jpg"
CHI_5616,Art Institute of Chicago,Aureus (Coin) Portraying Emperor Otho,Coin,Gold,"69 (January-April), issued by Otho",Unclassified,"https://www.artic.edu/iiif/2/d18c2b8e-463a-9903-f96d-f8a01bd0a550/full/600,/0/default.jpg"
CHI_140633,Art Institute of Chicago,Eye of Horus (Wedjat) Amulet,Costume and Accessories,Gold,Ptolemaic Period (305–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/60d71dc9-3f66-3681-b613-53f7101ad72e/full/600,/0/default.jpg"
CHI_135989,Art Institute of Chicago,Amulet of Taweret,Costume and Accessories,Faience,Third Intermediate Period–Late Period (about 1069–332 BCE),Jewellery,"https://www.artic.edu/iiif/2/3a73338b-2740-d6f2-8ad0-ecb9858985b3/full/600,/0/default.jpg"
CHI_56166,Art Institute of Chicago,Relief of a Falling Warrior,Sculpture,Marble,2nd century,Statuary,"https://www.artic.edu/iiif/2/9e4f8394-4072-5915-2eea-e55132035165/full/600,/0/default.jpg"
CHI_84551,Art Institute of Chicago,Bell Krater (Mixing Bowl),Vessel,"terracotta, red-figure",about 450 BCE,Statuary,"https://www.artic.edu/iiif/2/10d782f2-d7e8-4f1d-9779-8302ca35e29e/full/600,/0/default.jpg"
CHI_136201,Art Institute of Chicago,Amulet of a Baboon,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/e0eadd7b-dfd8-f1f3-b47a-b4176e647822/full/600,/0/default.jpg"
CHI_136020,Art Institute of Chicago,Amulet of the God Khnum,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/a6459e4f-3b10-7ed2-0bea-ceea8b850e26/full/600,/0/default.jpg"
CHI_286,Art Institute of Chicago,Portrait Head of a Woman,Sculpture,marble,about 140,Statuary,"https://www.artic.edu/iiif/2/95d7115d-3f78-ce6a-d174-d8f3581c9aa4/full/600,/0/default.jpg"
CHI_840,Art Institute of Chicago,Earring,Costume and Accessories,Glass,"New Kingdom, mid- to late Dynasty 18, about 1400–1295 BCE",Jewellery,"https://www.artic.edu/iiif/2/b5fd789f-fc57-5569-3785-e167d144c054/full/600,/0/default.jpg"
CHI_10019,Art Institute of Chicago,Denarius (Coin) Portraying Emperor Hadrian,Coin,Silver,134-138,Unclassified,"https://www.artic.edu/iiif/2/cf7cdb5b-8b39-f794-2083-fc247cd2aa2e/full/600,/0/default.jpg"
CHI_242,Art Institute of Chicago,Amphora (Storage Jar),Vessel,"terracotta, red-figure",4th century BCE,Statuary,"https://www.artic.edu/iiif/2/de7d5700-4efc-ae3b-0e32-614df31d5cbc/full/600,/0/default.jpg"
CHI_159136,Art Institute of Chicago,Portrait Bust of a Woman,Sculpture,Marble,Mid–2nd century,Statuary,"https://www.artic.edu/iiif/2/34133244-99a5-246f-c72f-76f32e55d253/full/600,/0/default.jpg"
CHI_487,Art Institute of Chicago,Ushabti (Funerary Figurine) of Horudja,Funerary Object,Faience,"Late Period, Dynasty 30 (380–343 BCE)",Statuary,"https://www.artic.edu/iiif/2/66a4e017-96f3-52ac-90cd-33f5657a613d/full/600,/0/default.jpg"
CHI_9655,Art Institute of Chicago,Tetradrachm (Coin) Depicting the Goddess Athena,Coin,Silver,about 163 BCE,Unclassified,"https://www.artic.edu/iiif/2/c1691eb7-517e-6d06-987d-dbd9a87d0826/full/600,/0/default.jpg"
CHI_140632,Art Institute of Chicago,Eye of Horus (Wedjat) Amulet,Costume and Accessories,Gold,Ptolemaic Period (305–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/a7201277-3d63-167c-c18e-d87e35a8b6ae/full/600,/0/default.jpg"
CHI_10083,Art Institute of Chicago,Dupondius (Coin) Portraying Germanicus Caesar,Coin,Bronze,15 BCE-19 CE,Statuary,"https://www.artic.edu/iiif/2/09c7e9d9-7c3e-fe62-d236-108d44710612/full/600,/0/default.jpg"
CHI_140945,Art Institute of Chicago,Amulet of a Necklace Counter Weight,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/320ede24-3089-5550-1a24-dffbfac41dba/full/600,/0/default.jpg"
CHI_140858,Art Institute of Chicago,Amulet of a Leg and Foot,Costume and Accessories,Carnelian,"Late Old Kingdom–First Intermediate Period, Dynasty 5–11 (about 2494–2055 BCE)",Jewellery,"https://www.artic.edu/iiif/2/750d06d7-b80a-ac0e-a99d-bfe3dfdc94e6/full/600,/0/default.jpg"
CHI_52198,Art Institute of Chicago,Belly-Amphora (Storage Jar),Vessel,"terracotta, black-figure",550-540 BCE,Statuary,"https://www.artic.edu/iiif/2/890944df-3646-9db0-f1ce-b8321fd40e89/full/600,/0/default.jpg"
CHI_136025,Art Institute of Chicago,Amulet of the God Anubis,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/ff8e8a69-a6e4-566e-e67c-8a1f2ce9a16b/full/600,/0/default.jpg"
CHI_10006,Art Institute of Chicago,Aureus (Coin) Portraying Emperor Antoninus Pius,Coin,Gold,138,Unclassified,"https://www.artic.edu/iiif/2/fd035801-bbfd-7265-97af-1e36113b284a/full/600,/0/default.jpg"
CHI_317,Art Institute of Chicago,Lekythos (Oil Jar),Vessel,"terracotta, black-glaze",about 400 BCE,Pottery,"https://www.artic.edu/iiif/2/2cc02688-d6b2-d7ea-fa2e-d461330abceb/full/600,/0/default.jpg"
CHI_9739,Art Institute of Chicago,Tetradrachm (Coin) Portraying Demetrius II Nikator of Syria,Coin,Silver,"130-129 BCE, Reign of Demetrius II Nikator of Syria, 145–139 BCE and 129–125 BCE",Unclassified,"https://www.artic.edu/iiif/2/7dd34b75-a1dc-bb84-5b27-8c4a5bd89665/full/600,/0/default.jpg"
CHI_259,Art Institute of Chicago,Skyphos (Drinking Cup),Vessel,terracotta,450-400 BCE,Pottery,"https://www.artic.edu/iiif/2/1fbb10a8-4a6c-925d-f2c1-2aa96261b3bf/full/600,/0/default.jpg"
CHI_52201,Art Institute of Chicago,Statuette of a Female Figure,Sculpture,Marble,"Early Bronze Age, 2600–2400 BCE",Statuary,"https://www.artic.edu/iiif/2/40d398a0-ba23-3254-c1f3-50d4fb3b9084/full/600,/0/default.jpg"
CHI_246,Art Institute of Chicago,Oinochoe (Pitcher),Vessel,"terracotta, red-figure",end of 4th century BCE,Statuary,"https://www.artic.edu/iiif/2/44abac03-4d36-aac6-f44e-ffe1d57dfb03/full/600,/0/default.jpg"
CHI_140726,Art Institute of Chicago,Amulet of Pataikos,Costume and Accessories,Ceramic,"Third Intermediate Period–Late Period, Dynasty 25–31 (8th–4th century BCE)",Jewellery,"https://www.artic.edu/iiif/2/1e24eba8-2684-69af-780c-e153552812fb/full/600,/0/default.jpg"
CHI_140839,Art Institute of Chicago,Eye of Horus (Wedjat) Amulet,Costume and Accessories,Faience,Ptolemaic Period (305–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/f1dd54e2-f18b-fb0f-93f9-971d695b3630/full/600,/0/default.jpg"
CHI_136204,Art Institute of Chicago,Amulet of a Hare,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/1a1ddcd7-c200-a7be-a0d7-84bbb1f7d7f6/full/600,/0/default.jpg"
CHI_86646,Art Institute of Chicago,Architectural Fragment with Relief Carving,Architectural fragment,Wood,5th–6th century,Reliefs,"https://www.artic.edu/iiif/2/f91b6683-22cc-6370-b22e-c26678a33416/full/600,/0/default.jpg"
CHI_64312,Art Institute of Chicago,Funerary Mask,Funerary Object,"Cartonnage, gold leaf, and pigment","Late Ptolemaic Period-early Roman Period, 1st century BCE",Statuary,"https://www.artic.edu/iiif/2/82f922f7-33cd-fb48-91ca-8aa050786a56/full/600,/0/default.jpg"
CHI_5764,Art Institute of Chicago,Tetradrachm (Coin) Portraying Alexander the Great,Coin,Silver,"297-281 BCE, issued by King Lysimachus of Thrace",Unclassified,"https://www.artic.edu/iiif/2/eed63520-b035-7587-0d5e-07af9216a627/full/600,/0/default.jpg"
CHI_135135,Art Institute of Chicago,Weight in the Form of a Frog,Costume and Accessories,Copper alloy,"New Kingdom, about 1550-1069 BCE",Unclassified,"https://www.artic.edu/iiif/2/8f13cb43-bace-f2a3-ea67-54a4f9907dfd/full/600,/0/default.jpg"
CHI_9768,Art Institute of Chicago,Coin Depicting Cow Suckling Calf,Coin,Silver,229-100 BCE,Unclassified,"https://www.artic.edu/iiif/2/95c7ddd0-899f-ea97-75fb-1826a0f691cf/full/600,/0/default.jpg"
CHI_111030,Art Institute of Chicago,Architectural Relief Depicting the Gigantomachy (Battle Between Gods and Giants),Architectural fragment,Terracotta and pigment,3rd-2nd century BCE,Pottery,"https://www.artic.edu/iiif/2/2f261722-1bf7-95ff-cfb2-5384614a5adb/full/600,/0/default.jpg"
CHI_255,Art Institute of Chicago,Fish Plate,Decorative Arts,"terracotta, red-figure",400-370 BCE,Statuary,"https://www.artic.edu/iiif/2/41e76dfc-8322-cc90-121b-0cab281051d4/full/600,/0/default.jpg"
CHI_180206,Art Institute of Chicago,Statue of Horus,Sculpture,Basalt,Ptolemaic Period (332–30 BCE),Statuary,"https://www.artic.edu/iiif/2/6a766b86-824d-239b-e3b8-eea48af968ee/full/600,/0/default.jpg"
CHI_136017,Art Institute of Chicago,Amulet of the God Bes,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/8c6d7126-3a3c-45df-26cb-cc7dbdfeee2e/full/600,/0/default.jpg"
